Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
storage-p05,0,True,24,68,105,202,0,244,18,0,0,0,0,0,0,6.0,6.0,6,6,6,0.0054,0.0004,0.0001,0.001,0.0,0.0,0.0014,0.0045,0.0133
storage-p04,0,True,2,9,16,38,0,43,0,0,0,0,0,0,0,6.0,6.0,6,6,6,0.0054,0.0002,0.0,0.0012,0.0,0.0,0.0004,0.0014,0.0089
storage-p06,0,True,31,101,153,290,0,352,18,0,0,0,0,0,0,6.0,6.0,6,6,6,0.0217,0.0005,0.0001,0.0014,0.0,0.0,0.0016,0.0052,0.031
storage-p11,0,True,69,344,501,923,0,1084,27,0,0,0,0,0,0,9.0,9.0,9,9,9,0.0091,0.002,0.0002,0.0018,0.0,0.0,0.0034,0.0106,0.0277
storage-p09,0,True,53,253,372,685,0,820,21,0,0,0,0,0,0,7.0,7.0,7,7,7,0.0073,0.0014,0.0002,0.0016,0.0,0.0,0.003,0.0083,0.0222
storage-p08,0,True,44,162,238,451,0,532,24,0,0,0,0,0,0,8.0,8.0,8,8,8,0.0058,0.0009,0.0001,0.0011,0.0,0.0,0.0023,0.0064,0.017
storage-p13,0,True,8,21,38,88,0,99,0,0,0,0,0,0,0,12.0,12.0,12,12,12,0.0075,0.0006,0.0,0.0012,0.0,0.0,0.0004,0.0015,0.0115
storage-p10,0,True,6,24,37,84,0,90,9,0,0,0,0,0,0,12.0,12.0,12,12,12,0.0247,0.0005,0.0,0.0012,0.0,0.0,0.0007,0.003,0.0306
storage-p12,0,True,82,478,699,1268,0,1499,27,0,0,0,0,0,0,9.0,9.0,9,9,9,0.0092,0.0031,0.0003,0.0017,0.0,0.0,0.0049,0.0137,0.0334
storage-p07,0,True,4,16,26,60,0,67,9,0,0,0,0,0,0,10.0,10.0,10,10,10,0.0055,0.0003,0.0,0.0011,0.0,0.0,0.0006,0.0028,0.0107
storage-p15,0,True,117,383,509,1021,0,1378,33,0,0,0,0,0,0,11.0,11.0,11,11,11,0.0099,0.0045,0.0004,0.0016,0.0,0.0,0.0057,0.0123,0.0349
storage-p17,0,True,205,979,1280,2480,0,3135,45,0,0,0,0,0,0,15.0,15.0,15,15,15,0.0169,0.0158,0.0012,0.0029,0.0,0.0,0.0136,0.0245,0.0756
storage-p19,0,True,317,1385,1742,3465,0,4447,57,0,0,0,0,0,0,19.0,19.0,19,19,19,0.0265,0.0366,0.0021,0.0039,0.0,0.0,0.0144,0.0298,0.1139
storage-p18,0,True,259,1388,1813,3478,0,4290,54,0,0,0,0,0,0,18.0,18.0,18,18,18,0.0199,0.0248,0.0022,0.0037,0.0,0.0,0.0188,0.0279,0.0982
storage-p16,0,True,158,714,937,1823,0,2287,39,0,0,0,0,0,0,13.0,13.0,13,13,13,0.0134,0.0093,0.0008,0.0023,0.0,0.0,0.0123,0.0192,0.0577
storage-p21,0,True,488,2668,3311,6492,0,8476,72,0,0,0,0,0,0,24.0,24.0,24,24,24,0.0482,0.101,0.0071,0.0085,0.0,0.0,0.0688,0.0556,0.2901
storage-p14,0,True,102,262,355,731,0,959,39,0,0,0,0,0,0,13.0,13.0,13,13,13,0.0089,0.0028,0.0004,0.0015,0.0,0.0,0.0033,0.0094,0.0268
storage-p20,0,True,381,1846,2302,4552,0,5779,64,0,0,0,0,0,0,22.0,22.0,22,22,22,0.032,0.0536,0.0036,0.0055,0.0,0.0,0.0211,0.036,0.1527
storage-p23,0,True,654,3741,4550,8975,0,11686,84,0,0,0,0,0,0,28.0,28.0,28,28,28,0.0748,0.2094,0.0121,0.0132,0.0,0.0,0.0879,0.072,0.4706
storage-p22,0,True,567,3753,4648,8995,0,11261,75,0,0,0,0,0,0,25.0,25.0,25,25,25,0.0663,0.1579,0.0089,0.0119,0.0,0.0,0.124,0.0707,0.4411
storage-p25,0,True,844,4785,5762,11425,0,14962,99,0,0,0,0,0,0,33.0,33.0,33,33,33,0.1141,0.3469,0.0228,0.0189,0.0,0.0,0.1165,0.1048,0.7256
storage-p26,0,True,995,7701,9166,17898,0,22654,100,0,0,0,0,0,0,34.0,34.0,34,34,34,0.1893,0.5817,0.0284,0.0315,0.0,0.0,0.1342,0.1741,1.1417
storage-p28,0,True,1229,8437,10016,19723,0,25953,114,0,0,0,0,0,0,38.0,38.0,38,38,38,0.2545,0.8709,0.047,0.0412,0.0,0.0,0.3271,0.164,1.7074
storage-p27,0,True,1110,8072,9632,18853,0,24403,108,0,0,0,0,0,0,36.0,36.0,36,36,36,0.2205,0.7506,0.0371,0.037,0.0,0.0,0.2362,0.1614,1.4453
storage-p29,0,True,1354,10309,12141,23847,0,30674,120,0,0,0,0,0,0,40.0,40.0,40,40,40,0.3165,1.2125,0.0573,0.0533,0.0,0.0,0.235,0.1927,2.0701
storage-p24,0,True,745,3764,4551,9092,0,12237,87,0,0,0,0,0,0,29.0,29.0,29,29,29,0.0894,0.2368,0.0132,0.0141,0.0,0.0,0.0469,0.08,0.4816
termes-opt18-strips-p03,0,True,51,135,135,326,0,480,23,0,0,0,0,0,0,10.0,10.0,10,10,10,0.0071,0.0014,0.0002,0.0011,0.0,0.0,0.0022,0.0064,0.0189
termes-opt18-strips-p05,0,True,61,163,163,393,0,597,29,0,0,1,1,1,0,12.0,12.0,12,15,12,0.0074,0.0019,0.0003,0.0012,0.0002,0.0,0.0033,0.0082,0.0227
termes-opt18-strips-p02,0,True,35,106,107,259,0,363,22,0,0,0,0,0,0,11.0,11.0,11,11,11,0.0069,0.0011,0.0001,0.001,0.0,0.0,0.0012,0.0047,0.0155
termes-opt18-strips-p01,0,True,41,107,107,259,0,363,21,0,0,0,0,0,0,8.5,8.5,9,9,9,0.0064,0.001,0.0001,0.0013,0.0,0.0,0.0018,0.0081,0.0192
storage-p30,0,True,1484,11401,13360,26290,0,33677,123,0,0,0,0,0,0,41.0,41.0,41,41,41,0.383,1.5338,0.0599,0.0601,0.0,0.0,0.2698,0.2213,2.532
termes-opt18-strips-p04,0,True,48,135,135,326,0,480,39,0,0,0,0,0,0,16.0,16.0,16,16,16,0.0268,0.0015,0.0002,0.0014,0.0,0.0,0.0018,0.0061,0.0383
termes-opt18-strips-p07,0,True,65,190,191,460,0,714,22,0,0,1,2,1,0,14.0,14.0,14,18,14,0.009,0.0025,0.0004,0.0013,0.0002,0.0001,0.0021,0.0069,0.0226
termes-opt18-strips-p11,0,True,35,107,107,259,0,363,36,0,0,0,2,0,0,15.5,15.5,16,17,16,0.0069,0.0011,0.0002,0.0013,0.0,0.0001,0.0025,0.0315,0.0439
termes-opt18-strips-p12,0,True,34,107,107,259,0,363,30,0,0,0,1,0,0,14.0,14.0,14,15,14,0.0067,0.0011,0.0001,0.0021,0.0,0.0,0.0013,0.0047,0.0165
termes-opt18-strips-p13,0,True,42,135,135,326,0,480,44,0,0,0,0,0,0,21.0,21.0,21,21,21,0.006,0.0015,0.0002,0.0013,0.0,0.0,0.0026,0.0078,0.02
termes-opt18-strips-p06,0,True,56,163,163,393,0,597,49,2,0,0,5,0,0,18.0,18.0,18,20,18,0.0067,0.002,0.0003,0.0014,0.0,0.0002,0.0028,0.0143,0.028
termes-opt18-strips-p14,0,True,41,135,135,326,0,480,45,0,0,1,1,1,0,18.0,18.0,18,24,18,0.0081,0.0015,0.0003,0.0011,0.0001,0.0,0.0021,0.0062,0.0197
termes-opt18-strips-p08,0,True,63,190,191,460,0,714,32,0,0,0,1,0,0,18.0,18.0,18,20,18,0.0093,0.0025,0.0004,0.0012,0.0,0.0,0.002,0.0073,0.0231
termes-opt18-strips-p15,0,True,53,163,163,393,0,597,54,1,0,1,2,1,0,22.2,22.5,23,25,23,0.0072,0.0021,0.0004,0.0014,0.0008,0.0001,0.0038,0.0114,0.0268
termes-opt18-strips-p09,0,True,81,219,219,527,0,831,42,0,0,0,0,0,0,16.0,16.0,16,16,16,0.008,0.003,0.0005,0.0018,0.0,0.0,0.0035,0.0085,0.0257
termes-opt18-strips-p10,0,True,76,219,219,527,0,831,52,0,0,1,1,1,0,18.0,18.0,18,24,18,0.0084,0.0031,0.0008,0.0013,0.0002,0.0,0.0029,0.0089,0.0257
termes-opt18-strips-p17,0,True,29,117,117,279,0,389,57,6,0,0,7,0,0,24.0,24.0,25,26,25,0.0067,0.0012,0.0002,0.0014,0.0,0.0002,0.0034,0.0362,0.0496
termes-opt18-strips-p19,0,True,41,147,147,350,0,512,45,1,0,1,2,1,0,19.0,19.0,19,22,19,0.0072,0.0017,0.0003,0.0016,0.0001,0.0001,0.0036,0.0073,0.0221
termes-sat18-strips-p03,0,True,79,247,247,585,0,881,40,0,0,0,1,0,0,19.0,19.0,19,20,19,0.0095,0.0034,0.0006,0.0014,0.0,0.0,0.0026,0.0088,0.027
termes-sat18-strips-p01,0,True,69,205,205,486,0,710,36,0,0,1,1,1,0,14.0,14.0,14,16,14,0.0081,0.0025,0.0003,0.0015,0.0002,0.0,0.0027,0.0071,0.0227
termes-sat18-strips-p02,0,True,63,205,205,486,0,710,62,5,0,6,2,6,0,22.0,22.0,22,25,22,0.0079,0.0026,0.0004,0.0014,0.0063,0.0001,0.0154,0.0256,0.0539
termes-opt18-strips-p16,0,True,50,163,163,393,0,597,64,0,0,1,1,1,0,26.0,26.0,26,31,26,0.0071,0.0021,0.0004,0.0015,0.0002,0.0,0.0033,0.0076,0.0226
termes-opt18-strips-p20,0,True,37,135,135,326,0,480,55,0,0,0,1,0,0,24.0,24.0,24,26,24,0.0066,0.0016,0.0003,0.0011,0.0,0.0,0.0018,0.0063,0.0182
termes-sat18-strips-p05,0,True,76,247,247,585,0,881,62,1,0,2,3,2,0,23.25,23.25,24,28,24,0.0085,0.0036,0.0006,0.0015,0.0022,0.0001,0.0076,0.0364,0.0587
termes-opt18-strips-p18,0,True,30,107,107,259,0,363,53,1,0,0,2,0,0,21.0,21.0,21,22,21,0.0065,0.0011,0.0002,0.0014,0.0,0.0001,0.0018,0.006,0.0174
termes-sat18-strips-p04,0,True,63,217,217,510,0,742,56,0,0,0,0,0,0,23.0,23.0,23,23,23,0.0091,0.0027,0.0004,0.0016,0.0,0.0,0.0049,0.0108,0.03
termes-sat18-strips-p07,0,True,90,289,289,684,0,1052,66,4,0,4,4,4,0,27.6667,27.9091,28,31,28,0.0095,0.0046,0.0008,0.0014,0.0081,0.0001,0.0214,0.044,0.0822
termes-sat18-strips-p06,0,True,94,289,289,684,0,1052,68,9,0,10,2,10,0,24.25,25.0,25,28,25,0.0223,0.0048,0.0008,0.0015,0.0155,0.0001,0.035,0.0722,0.1372
termes-sat18-strips-p11,0,True,50,215,215,503,0,642,95,42,0,27,16,27,0,32.0,32.4722,34,37,34,0.0075,0.0027,0.0006,0.0013,0.0699,0.0008,0.0932,0.1382,0.2444
termes-sat18-strips-p13,0,True,68,363,363,847,0,1230,167,160,0,94,70,20,143,62.6667,63.5,66,75,66,0.0121,0.0069,0.0019,0.0023,0.5164,0.0068,0.1576,0.461,0.6425
termes-sat18-strips-p09,0,True,119,372,373,882,0,1394,30,0,0,1,2,1,0,18.0,18.0,18,24,18,0.0134,0.0065,0.0011,0.0018,0.0003,0.0001,0.0037,0.0112,0.0383
termes-sat18-strips-p14,0,True,77,437,437,1019,0,1524,205,228,0,84,154,20,133,77.6667,78.0909,81,96,81,0.013,0.0111,0.0029,0.0018,0.5686,0.0211,0.1717,0.7197,0.9212
termes-sat18-strips-p10,0,True,141,415,415,981,0,1565,49,0,0,1,1,1,0,20.0,20.0,20,27,20,0.0136,0.0079,0.0014,0.0017,0.0004,0.0,0.0051,0.0143,0.0446
termes-sat18-strips-p15,0,True,86,511,511,1191,0,1818,246,153,0,104,60,20,165,92.5,93.0,96,118,96,0.0155,0.0137,0.0042,0.0021,0.8315,0.0094,0.1867,0.8121,1.0352
termes-sat18-strips-p12,0,True,59,289,289,675,0,936,135,96,0,72,25,20,105,48.0,48.2727,51,54,51,0.0111,0.0049,0.0011,0.0014,0.3257,0.0018,0.1129,0.4324,0.5644
termes-sat18-strips-p08,0,True,113,331,331,783,0,1223,54,0,0,1,1,1,0,19.0,19.0,19,25,19,0.0117,0.0054,0.0013,0.0019,0.0003,0.0,0.0037,0.0106,0.0351
tetris-opt14-strips-p02-10,0,False,713,6367,6949,14044,0,14618,18,0,0,0,0,0,0,17.5,17.5,19,19,19,0.1217,0.2142,0.0099,0.0189,0.0,0.0,0.0523,0.1818,0.6006
termes-sat18-strips-p20,0,True,165,873,873,2019,0,3114,314,6,0,0,7,0,0,116.5,116.5,118,120,118,0.025,0.0393,0.0085,0.0029,0.0,0.0031,0.0315,0.1485,0.2565
termes-sat18-strips-p16,0,True,40,219,219,515,0,715,113,1,0,0,1,0,0,43.0,43.0,44,44,44,0.0096,0.003,0.0006,0.0015,0.0,0.0001,0.0048,0.0147,0.0346
tetris-opt14-strips-p01-6,0,False,401,3372,3570,7356,0,7756,19,0,0,0,0,0,0,17.0,17.0,17,17,17,0.0459,0.0688,0.0035,0.0075,0.0,0.0,0.0193,0.0455,0.1917
termes-sat18-strips-p18,0,True,76,437,437,1019,0,1524,185,3,0,0,6,0,0,75.0,75.0,76,77,76,0.0131,0.0099,0.002,0.0017,0.0,0.0006,0.0101,0.0605,0.098
tetris-opt14-strips-p01-10,0,False,715,6434,6882,14044,0,14600,18,0,0,0,0,0,0,16.0,16.0,16,16,16,0.1316,0.2145,0.0088,0.0189,0.0,0.0,0.0359,0.0855,0.4968
tetris-opt14-strips-p01-8,0,False,805,8765,9584,19166,0,19895,17,0,0,0,0,0,0,15.5,15.5,17,17,17,0.1553,0.3063,0.0114,0.0282,0.0,0.0,0.0733,0.2665,0.8452
termes-sat18-strips-p17,0,True,43,275,275,646,0,940,152,1,0,0,1,0,0,59.0,59.0,60,60,60,0.0094,0.0046,0.001,0.0014,0.0,0.0001,0.0056,0.0203,0.0429
tetris-opt14-strips-p02-4,0,False,200,1753,2086,4045,0,4273,9,0,0,0,0,0,0,8.0,8.0,8,8,8,0.0222,0.017,0.0009,0.0039,0.0,0.0,0.0114,0.0277,0.0838
termes-sat18-strips-p19,0,True,84,511,511,1191,0,1818,222,5,0,0,7,0,0,91.0,91.0,92,93,92,0.0151,0.0135,0.0029,0.0022,0.0,0.001,0.0137,0.0995,0.1476
tetris-opt14-strips-p04-6,0,False,402,3349,3761,7524,0,7964,17,0,0,0,0,0,0,14.0,14.0,14,14,14,0.0471,0.0645,0.004,0.0079,0.0,0.0,0.0199,0.0507,0.1951
tetris-opt14-strips-p02-8,0,False,805,8786,9394,18999,0,19858,21,0,0,0,0,0,0,19.0,19.0,19,19,19,0.1627,0.3091,0.0128,0.0276,0.0,0.0,0.0519,0.1232,0.6898
tetris-opt14-strips-p02-6,0,False,579,6041,6760,13391,0,14139,14,0,0,0,0,0,0,15.0,15.0,15,15,15,0.0926,0.159,0.0076,0.0163,0.0,0.0,0.0363,0.0867,0.4
tetris-opt14-strips-p03-10,0,False,1936,22500,23999,48455,0,50847,24,0,0,0,0,0,0,25.5,25.5,27,27,27,0.759,1.9434,0.0595,0.1277,0.0,0.0,0.2092,0.543,3.6495
tetris-opt14-strips-p03-4,0,False,152,1560,1857,3576,0,3814,3,0,0,0,0,0,0,7.0,7.0,7,7,7,0.0205,0.0148,0.0011,0.0044,0.0,0.0,0.0106,0.0259,0.0781
tetris-opt14-strips-p05-10,0,False,1806,22189,23606,47617,0,49592,17,0,0,0,0,0,0,21.5,21.5,23,23,23,0.7131,1.7349,0.0527,0.1218,0.0,0.0,0.1582,0.4938,3.2796
tetris-opt14-strips-p03-6,0,False,327,3112,3507,6956,0,7308,10,0,0,0,0,0,0,11.0,11.0,11,11,11,0.0419,0.0495,0.0031,0.0074,0.0,0.0,0.0181,0.0456,0.1665
tetris-opt14-strips-p03-8,0,False,1407,16887,18110,36419,0,38405,18,0,0,0,0,0,0,20.0,20.0,20,20,20,0.4484,1.1135,0.0316,0.0761,0.0,0.0,0.1058,0.2447,2.0233
tetris-opt14-strips-p04-8,0,False,1156,12978,13959,28111,0,29623,30,0,0,0,0,0,0,23.5,23.5,25,25,25,0.3024,0.7799,0.0333,0.0519,0.0,0.0,0.1285,0.519,1.8206
