Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
ged-sat14-strips-d-11-5,0,False,937,5440,12720,19126,31366,27051,621607,0,0,,,,0,,,1.0,1,1,0.0762,0.3566,14.8413,0.362,0.0,0.0,,6.2736,21.9102
ged-sat14-strips-d-11-6,0,False,851,4902,11457,17239,27833,24388,538114,0,0,,,,0,,,1.0,1,1,0.1595,0.2929,10.5278,0.3072,0.0,0.0,,5.3059,16.5937
ged-sat14-strips-d-12-11,0,False,854,4902,11457,17239,27834,24388,538175,0,0,,,,0,,,1.0,1,1,0.0663,0.2926,10.8216,0.3076,0.0,0.0,,5.4679,16.9564
ged-sat14-strips-d-12-2,0,False,1217,7222,16905,25375,43145,35868,917768,0,0,,,,0,,,1.0,1,1,0.1337,0.6157,35.5773,0.5418,0.0,0.0,,9.735,46.6042
ged-sat14-strips-d-12-3,0,False,1316,7872,18432,27654,46959,39083,1033317,0,0,,,,0,,,1.0,1,1,0.1334,0.7255,45.2888,0.6084,0.0,0.0,,11.1492,57.9061
ged-sat14-strips-d-12-5,0,False,1420,8550,20025,30031,50984,42436,1161834,0,0,,,,0,,,1.0,1,1,0.1518,0.8505,58.6773,0.6884,0.0,0.0,,12.7186,73.0876
ged-sat14-strips-d-12-6,0,False,1213,7222,16905,25375,43145,35868,917626,0,0,,,,0,,,1.0,1,1,0.1162,0.6151,34.7201,0.5349,0.0,0.0,,9.5965,45.5835
ged-sat14-strips-d-12-7,0,False,1315,7872,18432,27654,46961,39083,1033334,0,0,,,,0,,,1.0,1,1,0.1328,0.7252,46.1009,0.6093,0.0,0.0,,11.1866,58.7558
ged-sat14-strips-d-12-8,0,False,1530,9256,21684,32506,55071,45927,1293425,0,0,,,,0,,,1.0,1,1,0.1791,0.9952,74.8878,0.784,0.0,0.0,,14.3368,91.184
ged-sat14-strips-d-12-9,0,False,1528,9256,21684,32506,55071,45927,1293425,0,0,,,,0,,,1.0,1,1,0.1728,0.9953,74.0489,0.7787,0.0,0.0,,14.5787,90.5754
ged-sat14-strips-d-3-6,0,False,775,4392,10260,15450,25005,21863,463509,0,0,,,,0,,,1.0,1,1,0.0681,0.2364,7.6879,0.2677,0.0,0.0,,4.3417,12.6021
ged-sat14-strips-d-9-5,0,False,856,4902,11457,17239,27872,24388,540202,0,0,,,,0,,,1.0,1,1,0.0643,0.2979,10.643,0.3249,0.0,0.0,,5.5595,16.8898
grid-prob01,0,True,42,105,109,265,178,289,358,0,0,,,,0,,,10.0,10,10,0.0179,0.0068,0.0001,0.0032,0.0,0.0,,0.0124,0.0406
grid-prob02,0,True,63,204,212,490,376,506,1021,0,0,,,,522,,,20.0,23,20,0.0634,0.0211,0.0003,0.0024,0.0,0.0,,0.1392,0.2266
grid-prob03,0,True,95,240,248,602,473,666,1089,0,0,,,,0,,,26.0,26,26,0.0532,0.0502,0.0005,0.0039,0.0,0.0,,0.0479,0.1564
grid-prob04,0,True,105,419,439,977,777,948,2475,0,0,,,,242,,,23.0,26,23,0.105,0.0677,0.0008,0.0045,0.0,0.0,,0.348,0.5273
grid-prob05,0,True,158,447,457,1096,1045,1220,3216,0,0,,,,4117,,,50.0,52,50,0.17,0.2039,0.0021,0.0051,0.0,0.0,,4.5042,4.887
gripper-prob01,0,True,8,16,25,59,12,54,16,0,0,,,,0,,,9.0,9,9,0.0226,0.0001,0.0,0.0029,0.0,0.0,,0.0021,0.0278
gripper-prob02,0,True,12,24,37,87,18,80,24,0,0,,,,0,,,13.0,13,13,0.0049,0.0001,0.0,0.0023,0.0,0.0,,0.0021,0.0095
gripper-prob03,0,True,16,32,49,115,24,106,32,0,0,,,,0,,,17.0,17,17,0.02,0.0002,0.0001,0.0019,0.0,0.0,,0.0026,0.0248
gripper-prob04,0,True,20,40,61,143,30,132,40,0,0,,,,0,,,21.0,21,21,0.0097,0.0002,0.0001,0.0032,0.0,0.0,,0.0025,0.0158
gripper-prob05,0,True,24,48,73,171,36,158,48,0,0,,,,0,,,25.0,25,25,0.0055,0.0003,0.0001,0.0017,0.0,0.0,,0.0024,0.0101
gripper-prob06,0,True,28,56,85,199,42,184,56,0,0,,,,0,,,29.0,29,29,0.0065,0.0004,0.0001,0.004,0.0,0.0,,0.0034,0.0145
gripper-prob07,0,True,32,64,97,227,48,210,64,0,0,,,,0,,,33.0,33,33,0.0111,0.0005,0.0002,0.0032,0.0,0.0,,0.0035,0.0185
gripper-prob08,0,True,36,72,109,255,54,236,72,0,0,,,,0,,,37.0,37,37,0.012,0.0006,0.0002,0.0034,0.0,0.0,,0.003,0.0192
gripper-prob09,0,True,40,80,121,283,60,262,80,0,0,,,,0,,,41.0,41,41,0.0129,0.0007,0.0003,0.0035,0.0,0.0,,0.0033,0.0207
gripper-prob10,0,True,44,88,133,311,66,288,88,0,0,,,,0,,,45.0,45,45,0.0133,0.0008,0.0004,0.0043,0.0,0.0,,0.0083,0.0272
gripper-prob11,0,True,48,96,145,339,72,314,96,0,0,,,,0,,,49.0,49,49,0.0067,0.0009,0.0005,0.002,0.0,0.0,,0.003,0.0131
gripper-prob12,0,True,52,104,157,367,78,340,104,0,0,,,,0,,,53.0,53,53,0.0266,0.001,0.0006,0.0222,0.0,0.0,,0.0031,0.0535
